年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,,,,
2015,基隆市,大芥菜,1,1,9701,9.701,,,,
2015,新竹市,大芥菜,1.7,1.7,14294.11765,24.3,,,,
2015,嘉義市,大芥菜,2.32,2.32,21100,48.952,,,,
2015,金門縣,大芥菜,0.13,0.13,21669.23077,2.817,,,,
2015,連江縣,大芥菜,0,0,0,0,,,,
2015,新北市,結球白菜,37.25,37.25,31150.28188,1160.348,,,,
2015,台北市,結球白菜,54.2,54.2,14160.79336,767.515,,,,
2015,桃園市,結球白菜,15.43,15.43,17860.01296,275.58,,,,
2015,台中市,結球白菜,28.25,28.25,30406.0177,858.97,,,,
2015,台南市,結球白菜,9.47,9.47,40632.52376,384.79,,,,
2015,高雄市,結球白菜,26.09,26.09,33011.61365,861.273,,,,
2015,宜蘭縣,結球白菜,114.3,114.3,68783.64829,7861.971,,,,
2015,新竹縣,結球白菜,26.48,26.48,28358.38369,750.93,,,,
2015,苗栗縣,結球白菜,11.74,11.74,20956.55877,246.03,,,,
2015,彰化縣,結球白菜,497.13,497.13,40290.31843,20029.526,,,,
2015,南投縣,結球白菜,35.4,35.4,38889.54802,1376.69,,,,
2015,雲林縣,結球白菜,813.91,813.91,42945.30108,34953.61,,,,
2015,嘉義縣,結球白菜,81.67,81.67,43413.49333,3545.58,,,,
2015,屏東縣,結球白菜,65.98,65.98,36466.80812,2406.08,,,,
2015,台東縣,結球白菜,28.93,28.93,29238.19564,845.861,,,,
2015,花蓮縣,結球白菜,102.63,102.63,18769.23901,1926.287,,,,
2015,澎湖縣,結球白菜,0,0,0,0,,,,
2015,基隆市,結球白菜,0.01,0.01,10000,0.1,,,,
2015,新竹市,結球白菜,1.25,1.25,12000,15,,,,
2015,嘉義市,結球白菜,1.1,1.1,36100,39.71,,,,
2015,金門縣,結球白菜,4.07,4.07,28279.11548,115.096,,,,
2015,連江縣,結球白菜,0,0,0,0,,,,
2015,新北市,不結球白菜,233.96,233.96,16059.0571,3757.177,,,,
2015,台北市,不結球白菜,99.91,99.91,9012.531278,900.442,,,,
2015,桃園市,不結球白菜,488.72,488.72,20350.57906,9945.735,,,,
2015,台中市,不結球白菜,10.78,10.78,13494.15584,145.467,,,,
2015,台南市,不結球白菜,185.25,185.25,16492.38327,3055.214,,,,
2015,高雄市,不結球白菜,304.99,304.99,13374.53031,4079.098,,,,
2015,宜蘭縣,不結球白菜,4.73,4.73,13999.36575,66.217,,,,
2015,新竹縣,不結球白菜,24.56,24.56,15270.60261,375.046,,,,
2015,苗栗縣,不結球白菜,47.26,47.26,15538.78544,734.363,,,,
2015,彰化縣,不結球白菜,64.84,64.84,18362.21468,1190.606,,,,
2015,南投縣,不結球白菜,0.4,0.4,22500,9,,,,
2015,雲林縣,不結球白菜,2452.79,2452.79,19846.54169,48679.399,,,,
2015,嘉義縣,不結球白菜,9.32,9.32,13593.34764,126.69,,,,
2015,屏東縣,不結球白菜,46.19,46.19,12400.77939,572.792,,,,
2015,台東縣,不結球白菜,6.92,6.92,12878.90173,89.122,,,,
2015,花蓮縣,不結球白菜,154.09,154.09,12192.18638,1878.694,,,,
2015,澎湖縣,不結球白菜,36.46,36.41,7385.05905,268.89,,,,
2015,基隆市,不結球白菜,0.3,0.3,9913.333333,2.974,,,,
2015,新竹市,不結球白菜,1.56,1.56,10792.30769,16.836,,,,
2015,嘉義市,不結球白菜,0,0,0,0,,,,
2015,金門縣,不結球白菜,2.72,2.72,18056.61765,49.114,,,,
2015,連江縣,不結球白菜,0,0,0,0,,,,
2015,新北市,甕菜,121.89,121.89,16985.93814,2070.416,,,,
2015,台北市,甕菜,51.97,51.97,11707.10025,608.418,,,,
2015,桃園市,甕菜,204.85,204.85,19064.82792,3905.43,,,,
2015,台中市,甕菜,124.2,124.2,15580.08052,1935.046,,,,
2015,台南市,甕菜,96.57,96.57,25957.4402,2506.71,,,,
2015,高雄市,甕菜,68.47,68.47,12634.0295,865.052,,,,
2015,宜蘭縣,甕菜,13.1,13,21735.46154,282.561,,,,
2015,新竹縣,甕菜,15.6,15.6,12618.26923,196.845,,,,
2015,苗栗縣,甕菜,2.8,2.8,13284.64286,37.197,,,,
2015,彰化縣,甕菜,35.52,35.52,24965.73761,886.783,,,,
2015,南投縣,甕菜,30.41,30.41,16959.84873,515.749,,,,
2015,雲林縣,甕菜,1057.76,1057.76,16266.29008,17205.831,,,,
2015,嘉義縣,甕菜,41.1,41.1,12375.83942,508.647,,,,
2015,屏東縣,甕菜,24.14,24.14,12461.14333,300.812,,,,
2015,台東縣,甕菜,0.54,0.54,17537.03704,9.47,,,,
2015,花蓮縣,甕菜,14.79,14.79,10165.72008,150.351,,,,
2015,澎湖縣,甕菜,6.42,6.42,8026.479751,51.53,,,,
2015,基隆市,甕菜,0.14,0.14,10000,1.4,,,,
2015,新竹市,甕菜,0.97,0.97,11939.17526,11.581,,,,
2015,嘉義市,甕菜,0,0,0,0,,,,
2015,金門縣,甕菜,0.61,0.61,17634.42623,10.757,,,,
2015,連江縣,甕菜,0,0,0,0,,,,
2015,新北市,芹菜,23.86,23.86,13770.07544,328.554,,,,
2015,台北市,芹菜,16.87,16.87,10522.64375,177.517,,,,
2015,桃園市,芹菜,11.83,11.83,19517.32883,230.89,,,,
2015,台中市,芹菜,0.15,0.15,14500,2.175,,,,
2015,台南市,芹菜,11.07,11.07,26356.63957,291.768,,,,
2015,高雄市,芹菜,105.71,105.71,15701.40952,1659.796,,,,
2015,宜蘭縣,芹菜,1.19,1.19,20861.34454,24.825,,,,
2015,新竹縣,芹菜,6.65,6.65,14535.33835,96.66,,,,
2015,苗栗縣,芹菜,8.18,8.18,13916.87042,113.84,,,,
2015,彰化縣,芹菜,177.75,177.75,23651.50492,4204.055,,,,
2015,南投縣,芹菜,0,0,0,0,,,,
2015,雲林縣,芹菜,629.61,629.61,21450.7997,13505.638,,,,
2015,嘉義縣,芹菜,3.91,3.91,17090.79284,66.825,,,,
2015,屏東縣,芹菜,20.42,20.42,13167.48286,268.88,,,,
2015,台東縣,芹菜,1.2,1.2,14083.33333,16.9,,,,
2015,花蓮縣,芹菜,3.43,3.43,10429.15452,35.772,,,,
2015,澎湖縣,芹菜,1.53,1.53,8428.104575,12.895,,,,
2015,基隆市,芹菜,0.02,0.02,10000,0.2,,,,
2015,新竹市,芹菜,1.12,1.12,11552.67857,12.939,,,,
2015,嘉義市,芹菜,0,0,0,0,,,,
2015,金門縣,芹菜,0.57,0.57,21671.92982,12.353,,,,
2015,連江縣,芹菜,0,0,0,0,,,,
2015,新北市,其他葉菜類,923.15,923.15,14595.1698,13473.531,,,,
2015,台北市,其他葉菜類,326.84,326.84,8893.78595,2906.845,,,,
2015,桃園市,其他葉菜類,2855.46,2855.36,18190.49017,51940.398,,,,
2015,台中市,其他葉菜類,331.18,331.18,13102.36125,4339.24,,,,
2015,台南市,其他葉菜類,332.6,332.6,13390.93806,4453.826,,,,
2015,高雄市,其他葉菜類,719.48,719.48,12995.41891,9349.944,,,,
2015,宜蘭縣,其他葉菜類,372.14,371.99,14606.55663,5433.493,,,,
2015,新竹縣,其他葉菜類,204.04,204.04,13498.62282,2754.259,,,,
2015,苗栗縣,其他葉菜類,294.51,294.51,13865.76347,4083.606,,,,
2015,彰化縣,其他葉菜類,544.81,544.81,11500.79844,6265.75,,,,
2015,南投縣,其他葉菜類,318.61,318.61,16594.73023,5287.247,,,,
2015,雲林縣,其他葉菜類,8974.66,8972.93,17065.58181,153128.271,,,,
2015,嘉義縣,其他葉菜類,548.57,548.57,12508.55862,6861.82,,,,
2015,屏東縣,其他葉菜類,693.18,692.78,14892.8491,10317.468,,,,
2015,台東縣,其他葉菜類,65.01,65.01,5376.172896,349.505,,,,
2015,花蓮縣,其他葉菜類,763.81,763.61,8822.979008,6737.315,,,,
2015,澎湖縣,其他葉菜類,12.38,12.38,8128.675283,100.633,,,,
2015,基隆市,其他葉菜類,4.42,4.42,9874.660633,43.646,,,,
2015,新竹市,其他葉菜類,13.3,13.3,12272.03008,163.218,,,,
2015,嘉義市,其他葉菜類,1.7,1.7,10000,17,,,,
2015,金門縣,其他葉菜類,1.47,1.47,22427.21088,32.968,,,,
2015,連江縣,其他葉菜類,0,0,0,0,,,,
2015,新北市,花椰菜,29.81,29.81,13793.92821,411.197,,,,
2015,台北市,花椰菜,8.44,8.44,8914.691943,75.24,,,,
2015,桃園市,花椰菜,6.36,6.36,16827.04403,107.02,,,,
2015,台中市,花椰菜,8.55,8.55,17273.21637,147.686,,,,
2015,台南市,花椰菜,65.63,65.63,20158.09843,1322.976,,,,
2015,高雄市,花椰菜,487.72,487.72,22763.8071,11102.364,,,,
2015,宜蘭縣,花椰菜,4.72,4.72,15498.30508,73.152,,,,
2015,新竹縣,花椰菜,14.04,14.04,16381.83761,230.001,,,,
2015,苗栗縣,花椰菜,27.53,27.53,20684.88921,569.455,,,,
2015,彰化縣,花椰菜,1064.23,1064.23,30118.78353,32053.313,,,,
2015,南投縣,花椰菜,3.7,3.7,18770.27027,69.45,,,,
2015,雲林縣,花椰菜,638.51,638.51,23325.16954,14893.354,,,,
2015,嘉義縣,花椰菜,868.51,868.51,22179.56155,19263.171,,,,
2015,屏東縣,花椰菜,3.36,3.36,17269.64286,58.026,,,,
2015,台東縣,花椰菜,16.87,16.87,27013.93005,455.725,,,,
2015,花蓮縣,花椰菜,15.35,15.35,11566.51466,177.546,,,,
2015,澎湖縣,花椰菜,21.05,21.05,9563.705463,201.316,,,,
2015,基隆市,花椰菜,0,0,0,0,,,,
2015,新竹市,花椰菜,2.62,2.62,11272.1374,29.533,,,,
2015,嘉義市,花椰菜,0.8,0.8,24262.5,19.41,,,,
2015,金門縣,花椰菜,2.73,2.73,19556.41026,53.389,,,,
2015,連江縣,花椰菜,0,0,0,0,,,,
2015,新北市,金針菜,9.11,9.05,993.1491713,8.988,,,,
2015,台北市,金針菜,0.65,0.65,669.2307692,0.435,,,,
2015,桃園市,金針菜,0.58,0.58,460.3448276,0.267,,,,
2015,台中市,金針菜,0.07,0.07,714.2857143,0.05,,,,
2015,台南市,金針菜,0.4,0.4,1200,0.48,,,,
2015,高雄市,金針菜,4.91,4.91,621.3849287,3.051,,,,
2015,宜蘭縣,金針菜,0.12,0.12,375,0.045,,,,
2015,新竹縣,金針菜,0.86,0.86,784.8837209,0.675,,,,
2015,苗栗縣,金針菜,6.18,6.18,766.0194175,4.734,,,,
2015,彰化縣,金針菜,0.12,0.12,600,0.072,,,,
2015,南投縣,金針菜,24.37,24.37,793.680755,19.342,,,,
2015,雲林縣,金針菜,13.87,13.87,959.9134823,13.314,,,,
2015,嘉義縣,金針菜,8.19,8.19,487.3015873,3.991,,,,
2015,屏東縣,金針菜,0,0,0,0,,,,
2015,台東縣,金針菜,71.49,61.49,955.6513254,58.763,,,,
2015,花蓮縣,金針菜,511.55,445.83,515.3107687,229.741,,,,
2015,澎湖縣,金針菜,0,0,0,0,,,,
2015,基隆市,金針菜,0.19,0.19,800,0.152,,,,
2015,新竹市,金針菜,0,0,0,0,,,,
2015,嘉義市,金針菜,0.9,0.9,1200,1.08,,,,
2015,金門縣,金針菜,0,0,0,0,,,,
2015,連江縣,金針菜,0,0,0,0,,,,
2015,新北市,越瓜,0,0,0,0,,,,
2015,台北市,越瓜,0,0,0,0,,,,
2015,桃園市,越瓜,1.76,1.76,16647.72727,29.3,,,,
2015,台中市,越瓜,4.09,4.09,13757.21271,56.267,,,,
2015,台南市,越瓜,3.99,3.99,13566.41604,54.13,,,,
2015,高雄市,越瓜,12.35,12.35,22550.8502,278.503,,,,
2015,宜蘭縣,越瓜,0.62,0.62,14512.90323,8.998,,,,
2015,新竹縣,越瓜,1.68,1.68,13428.57143,22.56,,,,
2015,苗栗縣,越瓜,1.56,1.56,17525.64103,27.34,,,,
2015,彰化縣,越瓜,31.41,31.41,18939.82808,594.9,,,,
2015,南投縣,越瓜,0.4,0.4,12150,4.86,,,,
2015,雲林縣,越瓜,69.06,69.06,18062.7715,1247.415,,,,
2015,嘉義縣,越瓜,77.92,77.92,14068.72433,1096.235,,,,
2015,屏東縣,越瓜,12.27,12.27,16840.7498,206.636,,,,
2015,台東縣,越瓜,0,0,0,0,,,,
2015,花蓮縣,越瓜,0.16,0.16,12662.5,2.026,,,,
2015,澎湖縣,越瓜,8.48,8.48,6764.622642,57.364,,,,
2015,基隆市,越瓜,0,0,0,0,,,,
2015,新竹市,越瓜,1.3,1.3,13000,16.9,,,,
2015,嘉義市,越瓜,0.9,0.9,18000,16.2,,,,
2015,金門縣,越瓜,0,0,0,0,,,,
2015,連江縣,越瓜,0,0,0,0,,,,
2015,新北市,胡瓜,41.95,41.95,11435.01788,479.699,,,,
2015,台北市,胡瓜,0.15,0.15,3366.666667,0.505,,,,
2015,桃園市,胡瓜,5.97,5.97,14631.49079,87.35,,,,
2015,台中市,胡瓜,9.6,9.6,16308.75,156.564,,,,
2015,台南市,胡瓜,53.34,53.34,20287.83277,1082.153,,,,
2015,高雄市,胡瓜,300.35,299.95,25261.19353,7577.095,,,,
2015,宜蘭縣,胡瓜,11.51,11.49,15517.31941,178.294,,,,
2015,新竹縣,胡瓜,7.75,7.75,11927.09677,92.435,,,,
2015,苗栗縣,胡瓜,94.56,94.56,17113.43063,1618.246,,,,
2015,彰化縣,胡瓜,249.4,249.4,22577.94707,5630.94,,,,
2015,南投縣,胡瓜,132.58,132.58,15616.23925,2070.401,,,,
2015,雲林縣,胡瓜,272.59,272.26,18626.33145,5071.205,,,,
2015,嘉義縣,胡瓜,109.01,109.01,17276.75443,1883.339,,,,
2015,屏東縣,胡瓜,810.81,810.59,25772.28809,20890.759,,,,
2015,台東縣,胡瓜,10.71,10.71,17649.85994,189.03,,,,
2015,花蓮縣,胡瓜,34.02,34.02,13211.61082,449.459,,,,
2015,澎湖縣,胡瓜,3.12,3.01,6369.767442,19.173,,,,
2015,基隆市,胡瓜,1.03,1.03,9853.398058,10.149,,,,
2015,新竹市,胡瓜,1.4,1.4,10000,14,,,,
2015,嘉義市,胡瓜,0.5,0.5,18000,9,,,,
2015,金門縣,胡瓜,0.65,0.65,17616.92308,11.451,,,,
2015,連江縣,胡瓜,0,0,0,0,,,,
2015,新北市,冬瓜,66.04,66.04,11971.09328,790.571,,,,
2015,台北市,冬瓜,5.39,5.39,13612.80148,73.373,,,,
2015,桃園市,冬瓜,11.39,11.39,16540.4741,188.396,,,,
2015,台中市,冬瓜,107.18,107.18,24394.08472,2614.558,,,,
2015,台南市,冬瓜,8.14,8.14,19356.26536,157.56,,,,
2015,高雄市,冬瓜,61.34,61.34,31622.64428,1939.733,,,,
2015,宜蘭縣,冬瓜,21.1,21.05,22680.57007,477.426,,,,
2015,新竹縣,冬瓜,10.15,10.15,15631.52709,158.66,,,,
2015,苗栗縣,冬瓜,74.16,74.16,22636.62352,1678.732,,,,
2015,彰化縣,冬瓜,188.06,188.06,29035.41423,5460.4,,,,
2015,南投縣,冬瓜,0,0,0,0,,,,
2015,雲林縣,冬瓜,44.76,44.76,22384.96425,1001.951,,,,
2015,嘉義縣,冬瓜,48.73,48.73,22454.31972,1094.199,,,,
2015,屏東縣,冬瓜,198.03,198.03,20003.8479,3961.362,,,,
2015,台東縣,冬瓜,99.22,99.22,22123.81576,2195.125,,,,
2015,花蓮縣,冬瓜,128.29,128.29,17286.42139,2217.675,,,,
2015,澎湖縣,冬瓜,1.58,1.27,8703.937008,11.054,,,,
2015,基隆市,冬瓜,0,0,0,0,,,,
2015,新竹市,冬瓜,2.49,2.49,14115.66265,35.148,,,,
2015,嘉義市,冬瓜,0.3,0.3,19500,5.85,,,,
2015,金門縣,冬瓜,0.65,0.65,22100,14.365,,,,
2015,連江縣,冬瓜,0,0,0,0,,,,
2015,新北市,苦瓜,13.81,13.81,10951.33961,151.238,,,,
2015,台北市,苦瓜,0.19,0.19,7321.052632,1.391,,,,
2015,桃園市,苦瓜,1.01,1.01,15960.39604,16.12,,,,
2015,台中市,苦瓜,167.44,167.44,17306.74271,2897.841,,,,
2015,台南市,苦瓜,33.5,33.5,18966.62687,635.382,,,,
2015,高雄市,苦瓜,139.2,139.2,18207.06178,2534.423,,,,
2015,宜蘭縣,苦瓜,6.28,6.28,14839.80892,93.194,,,,
2015,新竹縣,苦瓜,13.2,13.2,11951.06061,157.754,,,,
2015,苗栗縣,苦瓜,62.74,62.74,15460.61524,969.999,,,,
2015,彰化縣,苦瓜,254.14,253.14,21374.08549,5410.636,,,,
2015,南投縣,苦瓜,98.47,98.47,15829.73494,1558.754,,,,
2015,雲林縣,苦瓜,30.69,30.69,13821.99413,424.197,,,,
2015,嘉義縣,苦瓜,126.19,126.19,14325.95293,1807.792,,,,
2015,屏東縣,苦瓜,583.62,582.62,17959.09512,10463.328,,,,
2015,台東縣,苦瓜,7.22,7.22,26847.64543,193.84,,,,
2015,花蓮縣,苦瓜,34.55,34.55,10711.25904,370.074,,,,
2015,澎湖縣,苦瓜,1.46,1.46,6400,9.344,,,,
2015,基隆市,苦瓜,0.05,0.05,10000,0.5,,,,
2015,新竹市,苦瓜,0.7,0.7,9642.857143,6.75,,,,
2015,嘉義市,苦瓜,3.6,3.6,18000,64.8,,,,
2015,金門縣,苦瓜,0.27,0.27,21755.55556,5.874,,,,
2015,連江縣,苦瓜,0,0,0,0,,,,
2015,新北市,茄子,28.51,28.51,9932.935812,283.188,,,,
2015,台北市,茄子,4.55,4.55,7374.285714,33.553,,,,
2015,桃園市,茄子,1.33,1.33,12030.07519,16,,,,
2015,台中市,茄子,15.07,15.07,12453.35103,187.672,,,,
2015,台南市,茄子,9.2,9.2,15940.54348,146.653,,,,
2015,高雄市,茄子,102.98,102.98,15055.74869,1550.441,,,,
2015,宜蘭縣,茄子,3.05,3.05,12972.45902,39.566,,,,
2015,新竹縣,茄子,8.51,8.51,11174.85311,95.098,,,,
2015,苗栗縣,茄子,6.57,6.57,9949.010654,65.365,,,,
2015,彰化縣,茄子,192.26,192.26,22504.16103,4326.65,,,,
2015,南投縣,茄子,119.57,119.57,14263.4691,1705.483,,,,
2015,雲林縣,茄子,98.71,98.71,17374.94681,1715.081,,,,
2015,嘉義縣,茄子,12.12,12.12,16578.21782,200.928,,,,
2015,屏東縣,茄子,566.43,566.25,26372.46093,14933.406,,,,
2015,台東縣,茄子,3.13,3.13,14298.40256,44.754,,,,
2015,花蓮縣,茄子,20.83,20.83,7751.176188,161.457,,,,
2015,澎湖縣,茄子,0,0,0,0,,,,
2015,基隆市,茄子,0.04,0.04,9575,0.383,,,,
2015,新竹市,茄子,0.7,0.7,8500,5.95,,,,
2015,嘉義市,茄子,0,0,0,0,,,,
2015,金門縣,茄子,0.46,0.46,17106.52174,7.869,,,,
2015,連江縣,茄子,0,0,0,0,,,,
2015,新北市,菜豆,42.73,42.73,9527.381231,407.105,,,,
2015,台北市,菜豆,2.1,2.1,6154.285714,12.924,,,,
2015,桃園市,菜豆,2.09,2.09,14808.61244,30.95,,,,
2015,台中市,菜豆,7.04,7.04,12074.85795,85.007,,,,
2015,台南市,菜豆,14.81,14.81,14789.60162,219.034,,,,
2015,高雄市,菜豆,174.68,174.68,12414.47218,2168.56,,,,
2015,宜蘭縣,菜豆,6.04,6.04,12263.24503,74.07,,,,
2015,新竹縣,菜豆,6.47,6.47,9523.956723,61.62,,,,
2015,苗栗縣,菜豆,10.09,10.09,8211.298315,82.852,,,,
2015,彰化縣,菜豆,120.19,120.19,12935.59364,1554.729,,,,
2015,南投縣,菜豆,3.31,3.31,10827.79456,35.84,,,,
2015,雲林縣,菜豆,97.69,97.54,11759.35001,1147.007,,,,
2015,嘉義縣,菜豆,29.83,29.83,10551.72645,314.758,,,,
2015,屏東縣,菜豆,332.52,332.47,10972.82762,3648.136,,,,
2015,台東縣,菜豆,6.9,6.9,5489.130435,37.875,,,,
2015,花蓮縣,菜豆,14.15,14.15,9051.872792,128.084,,,,
2015,澎湖縣,菜豆,16.63,16.63,6706.133494,111.523,,,,
2015,基隆市,菜豆,0.02,0.02,10000,0.2,,,,
2015,新竹市,菜豆,1.1,1.1,9000,9.9,,,,
2015,嘉義市,菜豆,0.7,0.7,15000,10.5,,,,
2015,金門縣,菜豆,0.34,0.34,16217.64706,5.514,,,,
2015,連江縣,菜豆,0,0,0,0,,,,
2015,新北市,豌豆,2.86,2.86,9338.811189,26.709,,,,
2015,台北市,豌豆,0.1,0.1,8000,0.8,,,,
2015,桃園市,豌豆,0.07,0.07,10857.14286,0.76,,,,
2015,台中市,豌豆,3.82,3.82,8561.518325,32.705,,,,
2015,台南市,豌豆,0.7,0.7,7557.142857,5.29,,,,
2015,高雄市,豌豆,2.3,2.3,7341.304348,16.885,,,,
2015,宜蘭縣,豌豆,0,0,0,0,,,,
2015,新竹縣,豌豆,0.75,0.75,7880,5.91,,,,
2015,苗栗縣,豌豆,0,0,0,0,,,,
2015,彰化縣,豌豆,411.28,411.28,8113.037347,3336.73,,,,
2015,南投縣,豌豆,14.59,14.59,10125.08568,147.725,,,,
2015,雲林縣,豌豆,15.09,15.09,7991.782638,120.596,,,,
2015,嘉義縣,豌豆,9.6,9.6,5583.333333,53.6,,,,
2015,屏東縣,豌豆,0,0,0,0,,,,
2015,台東縣,豌豆,0.92,0.92,8218.478261,7.561,,,,
2015,花蓮縣,豌豆,1.8,1.8,8702.777778,15.665,,,,
2015,澎湖縣,豌豆,0,0,0,0,,,,
2015,基隆市,豌豆,0,0,0,0,,,,
2015,新竹市,豌豆,0,0,0,0,,,,
2015,嘉義市,豌豆,0,0,0,0,,,,
2015,金門縣,豌豆,0.31,0.31,7477.419355,2.318,,,,
2015,連江縣,豌豆,0,0,0,0,,,,
2015,新北市,毛豆,0,0,0,0,,,,
2015,台北市,毛豆,0,0,0,0,,,,
2015,桃園市,毛豆,0,0,0,0,,,,
2015,台中市,毛豆,0.92,0.92,9556.521739,8.792,,,,
2015,台南市,毛豆,104.01,104.01,7133.381406,741.943,,,,
2015,高雄市,毛豆,1434.15,1434.15,10112.45825,14502.782,,,,
2015,宜蘭縣,毛豆,0,0,0,0,,,,
2015,新竹縣,毛豆,0,0,0,0,,,,
2015,苗栗縣,毛豆,0,0,0,0,,,,
2015,彰化縣,毛豆,125.35,125.35,7900.390905,990.314,,,,
2015,南投縣,毛豆,0,0,0,0,,,,
2015,雲林縣,毛豆,1298.65,1298.65,6919.926847,8986.563,,,,
2015,嘉義縣,毛豆,617.68,617.68,9828.972931,6071.16,,,,
2015,屏東縣,毛豆,4661,4661,6677.963742,31125.989,,,,
2015,台東縣,毛豆,0,0,0,0,,,,
2015,花蓮縣,毛豆,0,0,0,0,,,,
2015,澎湖縣,毛豆,0,0,0,0,,,,
2015,基隆市,毛豆,0,0,0,0,,,,
2015,新竹市,毛豆,0,0,0,0,,,,
2015,嘉義市,毛豆,0,0,0,0,,,,
2015,金門縣,毛豆,0,0,0,0,,,,
2015,連江縣,毛豆,0,0,0,0,,,,
2015,新北市,番茄,0.9,0.9,10918.88889,9.827,,,,
2015,台北市,番茄,21.45,21.45,17107.78555,366.962,,,,
2015,桃園市,番茄,32.95,32.95,18594.99241,612.705,,,,
2015,台中市,番茄,106.84,106.84,20871.21864,2229.881,,,,
2015,台南市,番茄,869.3,869.3,28515.53894,24788.558,,,,
2015,高雄市,番茄,827.71,827.71,26668.4503,22073.743,,,,
2015,宜蘭縣,番茄,89.65,89.65,26744.96375,2397.686,,,,
2015,新竹縣,番茄,48.29,48.29,21784.30317,1051.964,,,,
2015,苗栗縣,番茄,250.61,250.61,23024.20494,5770.096,,,,
2015,彰化縣,番茄,378.22,378.07,26521.70233,10027.06,,,,
2015,南投縣,番茄,440.32,439.97,26454.45144,11639.165,,,,
2015,雲林縣,番茄,548.75,548.75,26596.50478,14594.832,,,,
2015,嘉義縣,番茄,937.97,937.97,21242.66768,19924.985,,,,
2015,屏東縣,番茄,116.28,116.28,24941.31407,2900.176,,,,
2015,台東縣,番茄,165.27,165.27,30043.54087,4965.296,,,,
2015,花蓮縣,番茄,55.88,55.88,13227.73801,739.166,,,,
2015,澎湖縣,番茄,10.81,10.81,9237.002775,99.852,,,,
2015,基隆市,番茄,0,0,0,0,,,,
2015,新竹市,番茄,0.39,0.39,12384.61538,4.83,,,,
2015,嘉義市,番茄,4.27,4.27,18492.03747,78.961,,,,
2015,金門縣,番茄,0.5,0.5,24348,12.174,,,,
2015,連江縣,番茄,0,0,0,0,,,,
2015,新北市,番椒,1.51,1.51,8766.225166,13.237,,,,
2015,台北市,番椒,8.75,8.75,10305.71429,90.175,,,,
2015,桃園市,番椒,2.65,2.65,6328.301887,16.77,,,,
2015,台中市,番椒,88.27,88.27,9650.209584,851.824,,,,
2015,台南市,番椒,142.08,141.88,9328.798985,1323.57,,,,
2015,高雄市,番椒,206.01,206.01,8833.566332,1819.803,,,,
2015,宜蘭縣,番椒,3.9,3.9,9026.666667,35.204,,,,
2015,新竹縣,番椒,12.66,12.66,13536.49289,171.372,,,,
2015,苗栗縣,番椒,41.9,41.9,8479.02148,355.271,,,,
2015,彰化縣,番椒,69.22,69.22,8714.331118,603.206,,,,
2015,南投縣,番椒,427.06,427.06,15000.66267,6406.183,,,,
2015,雲林縣,番椒,317.89,317.89,12725.88317,4045.431,,,,
2015,嘉義縣,番椒,503.71,503.71,8417.817792,4240.139,,,,
2015,屏東縣,番椒,342.25,342.25,10602.05113,3628.552,,,,
2015,台東縣,番椒,81.87,81.87,7784.805179,637.342,,,,
2015,花蓮縣,番椒,63.14,62.64,9350.159642,585.694,,,,
2015,澎湖縣,番椒,3.23,3.23,6358.823529,20.539,,,,
2015,基隆市,番椒,0.01,0.01,5000,0.05,,,,
2015,新竹市,番椒,0,0,0,0,,,,
2015,嘉義市,番椒,2.5,2.5,6451.2,16.128,,,,
2015,金門縣,番椒,0.51,0.51,9437.254902,4.813,,,,
2015,連江縣,番椒,0,0,0,0,,,,
2015,新北市,洋香瓜,0.04,0.04,18200,0.728,,,,
2015,台北市,洋香瓜,0.06,0.06,9500,0.57,,,,
2015,桃園市,洋香瓜,36.4,36.4,18796.01648,684.175,,,,
2015,台中市,洋香瓜,25.96,25.96,14178.698,368.079,,,,
2015,台南市,洋香瓜,1682.85,1682.81,12949.95157,21792.308,,,,
2015,高雄市,洋香瓜,177.16,177.16,12705.83089,2250.965,,,,
2015,宜蘭縣,洋香瓜,39.57,39.2,13441.27551,526.898,,,,
2015,新竹縣,洋香瓜,25.47,25.47,14850.41225,378.24,,,,
2015,苗栗縣,洋香瓜,1.24,1.24,9842.741935,12.205,,,,
2015,彰化縣,洋香瓜,119.97,119.97,25208.8022,3024.3,,,,
2015,南投縣,洋香瓜,0.2,0.2,12500,2.5,,,,
2015,雲林縣,洋香瓜,418.61,418.61,18272.75268,7649.157,,,,
2015,嘉義縣,洋香瓜,370.21,370.21,12625.45852,4674.071,,,,
2015,屏東縣,洋香瓜,6.17,6.17,12884.44084,79.497,,,,
2015,台東縣,洋香瓜,0,0,0,0,,,,
2015,花蓮縣,洋香瓜,5.91,2.51,7000,17.57,,,,
2015,澎湖縣,洋香瓜,42.52,42.39,10091.48384,427.778,,,,
2015,基隆市,洋香瓜,0,0,0,0,,,,
2015,新竹市,洋香瓜,0,0,0,0,,,,
2015,嘉義市,洋香瓜,0,0,0,0,,,,
2015,金門縣,洋香瓜,0,0,0,0,,,,
2015,連江縣,洋香瓜,0,0,0,0,,,,
2015,新北市,西瓜,52.5,52.49,14611.67841,766.967,,,,
2015,台北市,西瓜,0,0,0,0,,,,
2015,桃園市,西瓜,159.79,159.79,20542.11778,3282.425,,,,
2015,台中市,西瓜,429.29,429.29,27808.10874,11937.743,,,,
2015,台南市,西瓜,2204.05,2202.75,13358.41834,29425.256,,,,
