grant_title,id,organization,total_amount,group,Grant start date,start_year
連江縣,110,芋,0,low,1/1/2009,2015
新北市,111,馬鈴薯,0.05,low,9/1/2008,2015
台北市,112,馬鈴薯,0,low,10/1/2009,2015
桃園市,113,馬鈴薯,0,low,5/1/2008,2015
台中市,114,馬鈴薯,474.34,low,8/31/2009,2015
台南市,115,馬鈴薯,76.56,low,7/1/2008,2015
高雄市,116,馬鈴薯,0,low,5/1/2008,2015
宜蘭縣,117,馬鈴薯,0,low,8/1/2008,2015
新竹縣,118,馬鈴薯,0.1,low,11/4/2009,2015
苗栗縣,119,馬鈴薯,3.5,low,5/11/2009,2015
彰化縣,120,馬鈴薯,2.24,low,7/1/2008,2015
南投縣,121,馬鈴薯,0.5,low,5/5/2009,2015
雲林縣,122,馬鈴薯,1326.2,high,11/16/2009,2015
嘉義縣,123,馬鈴薯,623.56,medium,5/1/2008,2015
屏東縣,124,馬鈴薯,0,low,9/1/2008,2015
台東縣,125,馬鈴薯,0,low,3/1/2008,2015
花蓮縣,126,馬鈴薯,0.7,low,3/11/2009,2015
澎湖縣,127,馬鈴薯,0,low,11/7/2009,2015
基隆市,128,馬鈴薯,0,low,11/11/2009,2015
新竹市,129,馬鈴薯,0,low,5/5/2009,2015
嘉義市,130,馬鈴薯,8,low,7/1/2008,2015
金門縣,131,馬鈴薯,2.41,low,5/1/2008,2015
連江縣,132,馬鈴薯,0,low,11/10/2009,2015
新北市,133,蔥,96.43,low,7/1/2008,2015
台北市,134,蔥,10.35,low,4/25/2009,2015
桃園市,135,蔥,26.51,low,11/1/2008,2015
台中市,136,蔥,121.08,low,10/26/2009,2015
台南市,137,蔥,34.47,low,3/1/2008,2015
高雄市,138,蔥,177.54,low,11/13/2009,2015
宜蘭縣,139,蔥,678.66,medium,7/1/2008,2015
新竹縣,140,蔥,39.19,low,11/10/2009,2015
苗栗縣,141,蔥,54.2,low,11/3/2009,2015
彰化縣,142,蔥,1643.5,high,8/27/2009,2015
南投縣,143,蔥,13.2,low,10/10/2009,2015
雲林縣,144,蔥,1426.21,high,4/8/2010,2015
嘉義縣,145,蔥,85.16,low,11/3/2009,2015
屏東縣,146,蔥,57.01,low,11/18/2009,2015
台東縣,147,蔥,11.72,low,10/9/2009,2015
花蓮縣,148,蔥,56.83,low,1/1/2009,2015
澎湖縣,149,蔥,24.21,low,11/12/2009,2015
基隆市,150,蔥,0.48,low,11/1/2008,2015
新竹市,151,蔥,5.07,low,1/21/2010,2015
嘉義市,152,蔥,0.53,low,7/18/2009,2015
金門縣,153,蔥,1.59,low,3/1/2008,2015
連江縣,154,蔥,0,low,6/26/2009,2015
新北市,155,蔥頭,0,low,1/15/2009,2015
台北市,156,蔥頭,0,low,7/10/2009,2015
桃園市,157,蔥頭,0,low,10/22/2009,2015
